ip,connections,zone,cati,version,data_center
1.1.1.1,"0.0.0.0,2.2.2.2,3.3.3.3,9.9.9.9,10.10.10.10",lb,ICTO-0001,f5,pri
2.2.2.2,"4.4.4.4,5.5.5.5",dmz,ICTO-0001,jap,pri
3.3.3.3,"4.4.4.4,5.5.5.5",dmz,ICTO-0001,jap,pri
4.4.4.4,12.12.12.12,app,ICTO-0001,weblogic,pri
0.0.0.0,"6.6.6.6,7.7.7.7,8.8.8.8",dmz,ICTO-0001,jap,cdc
5.5.5.5,12.12.12.12,app,ICTO-0001,weblogic,pri
6.6.6.6,12.12.12.12,app,ICTO-0001,weblogic,cdc
7.7.7.7,12.12.12.12,app,ICTO-0001,weblogic,cdc
8.8.8.8,12.12.12.12,app,ICTO-0001,weblogic,cdc
9.9.9.9,"6.6.6.6,7.7.7.7,8.8.8.8",dmz,ICTO-0001,jap,cdc
10.10.10.10,11.11.11.11,dmz,ICTO-0001,jap,sin
11.11.11.11,12.12.12.12,app,ICTO-0001,weblogic,sin
12.12.12.12,,db,ICTO-0001,oracle,cdc
